6 6 4 0 0,4,3920,23,1.88902e+10
2 2 0 0,4,3920,23,1.88902e+10
5 5 4 0 0,4,3920,23,1.88902e+10
4 4 0 0,4,3920,23,1.88902e+10
6 6 7 7,1,7.267e+08,8,4.3602e+09
4 4 5 5,1,7.267e+08,8,4.3602e+09
5 5 4 6 6,1,7.267e+08,8,4.3602e+09
3 3 2 0 4 4,1,7.267e+08,9,8.7184e+09
1 1 0 0,4,7.26703e+08,23,1.88902e+10
3 3 2 0 0,4,7.26703e+08,23,1.88902e+10
7 7 6 4 0 0,4,7.26703e+08,23,1.88902e+10
1 1 0 2 2,1,1.453e+09,8,1.30797e+10
2 2 3 3,1,1.453e+09,8,8.7184e+09
0 0 1 1,1,2.18e+09,23,1.88902e+10
6 6,3,2.1801e+09,8,4.3602e+09
7 7,3,2.1801e+09,7,4.3602e+09
5 5,3,2.1801e+09,8,4.3602e+09
4 4,3,2.1801e+09,8,4.3602e+09
2 2,3,4.359e+09,8,8.718e+09
3 3,3,4.359e+09,8,8.7184e+09
1 1,3,6.54e+09,8,1.30797e+10
0 0 0,6,1.08974e+10,23,1.88902e+10
